Dialog_ID,Type,Actor,Text
hit:6629_conv:13259,situation,none,"I'm happy that it is almost Fall, my favorite time of year."
hit:6629_conv:13259,utterance,speaker,I'm glad that Fall is almost here.
hit:6629_conv:13259,utterance,listener,"Okay, but I'm pretty sure we aren't done yet."
hit:6629_conv:13259,utterance,speaker,5
hit:5954_conv:11909,situation,none,I am going on a cruise next month with some friends. I cannot wait!
hit:5954_conv:11909,utterance,speaker,I am going on a cruise next month with some friends.
hit:5954_conv:11909,utterance,listener,That should be fun. Where does the cruise go to?
hit:5954_conv:11909,utterance,speaker,We are going to the Bahamas. I cannot wait! It is going to be so fun!
hit:5954_conv:11909,utterance,listener,The Bahamas is beautiful. I am sure you will love it.
hit:9598_conv:19196,situation,none,Im am starting my new job on Monday! I cant wait to get started.
hit:9598_conv:19196,utterance,speaker,I am starting my new job on Monday! I cant wait to get started. I will be working with two of my best friends.
hit:9598_conv:19196,utterance,listener,What kind of job is it?
hit:9598_conv:19196,utterance,speaker,I will be working at the zoo. Its going to be so much fun!
hit:9598_conv:19196,utterance,listener,Thats interesting!
hit:7891_conv:15782,situation,none,I'm taking a trip to New York for the first time! I am looking forward to it!
hit:7891_conv:15782,utterance,speaker,I'm taking a trip to New York for the first time!
hit:7891_conv:15782,utterance,listener,Awesome! Are you going alone?
hit:7891_conv:15782,utterance,speaker,"No, with my boyfriend! I am looking forward to it!"
hit:7891_conv:15782,utterance,listener,That's great! Is it for vacation?
hit:7388_conv:14776,situation,none,I'm getting married next weekend!
hit:7388_conv:14776,utterance,speaker,I'm getting married next weekend!
hit:7388_conv:14776,utterance,listener,Wow congratulations! Will it be a big ceremony?
hit:7388_conv:14776,utterance,speaker,"No, we are just going to go sign the papers lol. We're saving for a home."
hit:7388_conv:14776,utterance,listener,"That's smart, I think big weddings are a waste of money honestly."
hit:1504_conv:3009,situation,none,I got happy when I knew I was going to six flags. I could not wait
hit:1504_conv:3009,utterance,speaker,I got happy when I knew I was going to six flags. I could hardly wait
hit:1504_conv:3009,utterance,listener,Six Flags is such a fun park! Are you a fan of roller coasters?
hit:1504_conv:3009,utterance,speaker,I love riding those
hit:1504_conv:3009,utterance,listener,They are! Cedar Point has some gnarly roller coasters too.
hit:9059_conv:18118,situation,none,I am so ready to go to the Yankees game tomorrow.
hit:9059_conv:18118,utterance,speaker,I am so ready to go to the Yankees  game tomorrow.
hit:9059_conv:18118,utterance,listener,"Oh, who are they playing?"
hit:9059_conv:18118,utterance,speaker,They are playing Tampa Bay.
hit:9059_conv:18118,utterance,listener,That will be so fun!
hit:1185_conv:2371,situation,none,A new piece of workout equipment I ordered just came in. I'm really excited to try it out.
hit:1185_conv:2371,utterance,speaker,I just got a new piece of workout equipment in the mail. Can't wait to try it out.
hit:1185_conv:2371,utterance,listener,wow thats awesome
hit:1185_conv:2371,utterance,speaker,Yeah. It's a special type of bar that allows you to do different movements that you can't do with a regular barbell.
hit:1185_conv:2371,utterance,listener,sounds like you will be using that often
hit:1185_conv:2371,utterance,speaker,Oh I plan on it! It will boost my progress into overdrive!
hit:3756_conv:7513,situation,none,"My grand mum bought me a gold watch as a birthday gift,  that really made me happy"
hit:3756_conv:7513,utterance,speaker,I have really wished to have one ever since I lost the one my mum bought during my convocation
hit:3756_conv:7513,utterance,listener,What are you talking about?
hit:3756_conv:7513,utterance,speaker,I am talking about a gold watch my grandma bought for me
hit:3756_conv:7513,utterance,listener,Oh ok. That's awesome. It's nice to have something of value.
hit:495_conv:990,situation,none,Going to California for the first time.
hit:495_conv:990,utterance,speaker,I recently got to visit California for the first time. It's a pretty incredible place.
hit:495_conv:990,utterance,listener,I've always wanted to go there! What did you like most about it?
hit:495_conv:990,utterance,speaker,The weather. It's the same temperature and humidity everyday. Makes packing easy.
hit:495_conv:990,utterance,listener,"I bet! I'm guessing it must be good weather, then?"
hit:495_conv:990,utterance,speaker,Oh yea. Just above 70 with a light breeze.
hit:5132_conv:10265,situation,none,I won the opportunity to go up in a hot air balloon. Wonder who I should take with me.
hit:5132_conv:10265,utterance,speaker,I won the opportunity to go up in a hot air balloon. Wonder who I should take with me.
hit:5132_conv:10265,utterance,listener,Any gf or bf? That would be scary yet wonderful!
hit:5132_conv:10265,utterance,speaker,Nope. Living the single life. Might take family or a friend.
hit:5132_conv:10265,utterance,listener,I would take someone who would be thrilled about it :)
hit:9082_conv:18165,situation,none,"I'm pumped for my next leg day. Been eating really well lately and getting enough sleep, I'm gonna go all out"
hit:9082_conv:18165,utterance,speaker,"I'm stoked for leg day.  Been eating really well lately and getting enough sleep, I'm gonna go all out"
hit:9082_conv:18165,utterance,listener,Leg day? Never heard of that. Do explain.
hit:9082_conv:18165,utterance,speaker,The gym.
hit:9082_conv:18165,utterance,listener,Oh yeah now I get it. Hope you get a good workout in.
hit:8398_conv:16797,situation,none,The time my stepdad got me and my brother a dog. I wasn't expecting it.
hit:8398_conv:16797,utterance,speaker,My stepdad got me a dog!
hit:8398_conv:16797,utterance,listener,whats the dogs name ? what kind is it
hit:8398_conv:16797,utterance,speaker,It's a big husky we haven't named her yet but we like her.
hit:8398_conv:16797,utterance,listener,oh those are nice loyal dogs.
hit:8723_conv:17446,situation,none,"I bought a few $3 lottery tickets at the store just for fun one night knowing I probably would not win a thing. I won $50,000 to my surprise!"
hit:8723_conv:17446,utterance,speaker,"I never win anything but took a chance on buying a few lottery tickets the and I won $50,000!"
hit:8723_conv:17446,utterance,listener,"Wow, that must have made you feel so good about yourself."
hit:8723_conv:17446,utterance,speaker,"Considering I never win, it made it even more awesome, yes!"
hit:8723_conv:17446,utterance,listener,It's such a great joy to win something. I hope your luck continues.
hit:1063_conv:2126,situation,none,I get to visit my long distance girlfriend in less than a week!
hit:1063_conv:2126,utterance,speaker,I get to visit my long distance girlfriend in less than a week!
hit:1063_conv:2126,utterance,listener,I bet you are excited for that
hit:1063_conv:2126,utterance,speaker,"Yeah, no kidding. I love traveling, and obviously love seeing her. Gonna suck that it only lasts a couple weeks though."
hit:1063_conv:2126,utterance,listener,"Yeah, it's always hard to leave in those situations. Are you flying to see her?"
hit:5923_conv:11846,situation,none,I have been waiting for my union members points to come in the mail so I can get two free movie tickets. Ive been wanting to see the new Jurassic Park movie and can't wait!
hit:5923_conv:11846,utterance,speaker,I have been waiting for my union members points to come in the mail so I can get two free movie tickets. Ive been wanting to see the new Jurassic Park movie and can't wait!
hit:5923_conv:11846,utterance,listener,What are union memners points?
hit:5923_conv:11846,utterance,speaker,My Fiance is a part of a union for communications workers and they have rewards points you get to redeem for different things. The points and perks alone arent worth the union fees in my opinion but he wants to be a part of it so
hit:5923_conv:11846,utterance,listener,Oh. Maybe they should lower the fees or up the rewards
hit:6152_conv:12304,situation,none,"I am so pumped for the new Super Smash Bros game, it looks amazing"
hit:6152_conv:12304,utterance,speaker,"I am so pumped for the new Super Smash Bros game, it looks amazing"
hit:6152_conv:12304,utterance,listener,"I saw that, I can't wait to play!"
hit:6152_conv:12304,utterance,speaker,"Me neither, they are doing this game right for the fans, I am pumped"
hit:6152_conv:12304,utterance,listener,"Yes! I was astounded how good it looks, didn't expect it to be like that!"
hit:222_conv:444,situation,none,"I decided to I would buy a few lottery tickets. My luck is normally not all that great. I scratched the 3 lottery tickets I bought and won $50,000!"
hit:222_conv:444,utterance,speaker,"I won $50,000 on one of the 3 scratch off tickets I recently bought!"
hit:222_conv:444,utterance,listener,Holy smokes - thats unbelievable.  I gave up on playing those scratch off games
hit:222_conv:444,utterance,speaker,I know! I normally do not win so I could not believe it when I did!
hit:222_conv:444,utterance,listener,How often do you play?
hit:7129_conv:14258,situation,none,I went to the perk to meet with a friend I havent seen in a long time
hit:7129_conv:14258,utterance,speaker,Yesterday I went to the park to meet with a long time friend I haven't seen since we graduated in highschool
hit:7129_conv:14258,utterance,listener,Cool - how did it go?
hit:7129_conv:14258,utterance,speaker,"It was very good, we catch up with a lot of things"
hit:7129_conv:14258,utterance,listener,Good. Have you arranged to meet again?
hit:7129_conv:14258,utterance,speaker,"Yes, next week"
hit:7129_conv:14258,utterance,listener,Brilliant. It's like having a new friend.
hit:7129_conv:14258,utterance,speaker,"Yes, and there are so many things we could do, he is also new in the city"
hit:3550_conv:7101,situation,none,I am so elated. I am going on a vacation tomorrow.
hit:3550_conv:7101,utterance,speaker,I am so elated!  I am going on a vacation tomorrow!
hit:3550_conv:7101,utterance,listener,Where are you headed?
