Dialog_ID,Type,Actor,Text
hit:4812_conv:9624,situation,none,I'm very happy about my daughters' talents. They are both musicians.
hit:4812_conv:9624,utterance,speaker,My two daughters are both musicians.
hit:4812_conv:9624,utterance,listener,Congrats.You must be very proud of her.
hit:4812_conv:9624,utterance,speaker,I am very proud of both of them. One is a violinist and the other a pianist.
hit:4812_conv:9624,utterance,listener,The talent on your family is abundant.
hit:12380_conv:24761,situation,none,My brother finally got into law school! I am so happy for him.
hit:12380_conv:24761,utterance,speaker,My brother finally got into law school!
hit:12380_conv:24761,utterance,listener,That's awesome. You must be so proud of him.
hit:12380_conv:24761,utterance,speaker,"Yes, very much so! He worked very hard for it."
hit:12380_conv:24761,utterance,listener,The LSAT is no joke. He must have studied very hard.
hit:3704_conv:7409,situation,none,I am proud of my son. He is graduating from college this weekend!
hit:3704_conv:7409,utterance,speaker,I am going to watch my kid get the degree soon!
hit:3704_conv:7409,utterance,listener,Wow that's so exciting! What did they study?
hit:3704_conv:7409,utterance,speaker,He was studying the science degree. I am not sure what type.
hit:3704_conv:7409,utterance,listener,That is great. What's the next step- work?
hit:10425_conv:20850,situation,none,"I was in a class when my name was mentioned for an award,i came out feeling high"
hit:10425_conv:20850,utterance,speaker,Everyone applauded me
hit:10425_conv:20850,utterance,listener,That must feel amazing! What did you do to deserve the recognition?
hit:10425_conv:20850,utterance,speaker,I cleard my papers
hit:10425_conv:20850,utterance,listener,Was this at the office? Or perhaps at school?
hit:2071_conv:4142,situation,none,"I felt so accomplished when I started my own business, it's still in the beginning phase but it's an awesome feeling."
hit:2071_conv:4142,utterance,speaker,I felt so accomplished when I started my own business. It's still in the beginning phase but it's an awesome feeling.
hit:2071_conv:4142,utterance,listener,Great! what kind of business?
hit:2071_conv:4142,utterance,speaker,It's an online service business with mine and my wife's original music therapy songs.
hit:2071_conv:4142,utterance,listener,Music therapy sounds very interesting.
hit:7586_conv:15172,situation,none,I was proud about a pizza I made last week
hit:7586_conv:15172,utterance,speaker,I made an amazing pizza the other day
hit:7586_conv:15172,utterance,listener,I do not like pizza.
hit:7586_conv:15172,utterance,speaker,No? why not?
hit:7586_conv:15172,utterance,listener,I just do not like the sauce and too much bread.
hit:7203_conv:14407,situation,none,My son got into a fight with a bully.  I am so happy. that he won.
hit:7203_conv:14407,utterance,speaker,My son got into a fight with a bully.
hit:7203_conv:14407,utterance,listener,That does not sounds good! Are you proud of him for standing up?
hit:7203_conv:14407,utterance,speaker,I am so happy he won!
hit:7203_conv:14407,utterance,listener,I am glad for him. Bullies should not be allowed to behave badly towards others.
hit:8664_conv:17328,situation,none,My son said his first word today. I was filled with pride.
hit:8664_conv:17328,utterance,speaker,My son said his first word today!
hit:8664_conv:17328,utterance,listener,That is so exciting! What did he say?
hit:8664_conv:17328,utterance,speaker,"He said ""hernia""! I was so stoked!"
hit:8664_conv:17328,utterance,listener,That is so cute! Be sure and jot that down in the baby book!
hit:7379_conv:14758,situation,none,My brother got a job promotion. I am happy for him
hit:7379_conv:14758,utterance,speaker,My brother got a job promotion. I am happy for him
hit:7379_conv:14758,utterance,listener,Great! What kind of job and how good of a promotion?
hit:7379_conv:14758,utterance,speaker,It was pay raise and title change
