Dialog_ID,Type,Actor,Text,Label
hit:4322_conv:8645,situation,none,Nephew caught a big fish,jealous
hit:4322_conv:8645,utterance,speaker,My nephew caught a huge bass this weekend!,surprised
hit:4322_conv:8645,utterance,listener,"That is cool, did you teach him how to fish?",questioning
hit:4322_conv:8645,utterance,speaker,No lol.  He's actually better at it than I am!  I didn't catch anything,jealous
hit:4322_conv:8645,utterance,listener,I am sure he didn't let you hear the end of that.,neutral
hit:4322_conv:8645,utterance,speaker,haha.  I doubt he ever will!  That turd!,agreeing
hit:9562_conv:19124,situation,none,I found out my wife was cheating on me with another guy last weekend.  I couldnt beleive it when i found out,devastated
hit:9562_conv:19124,utterance,speaker,I found out that my wife had been cheating on me last week. I was not expecting that,disappointed
hit:9562_conv:19124,utterance,listener,Wow that must be awful.,acknowledging
hit:9562_conv:19124,utterance,speaker,Yea I couldnt believe it.  It's ok though.  I have been spending the nights at her sisters,surprised
hit:9562_conv:19124,utterance,listener,That's fair. Space is good,angry
hit:8975_conv:17951,situation,none,"I really like my friend's Chanel bag, but I would never spend that much money on an accessory",jealous
hit:8975_conv:17951,utterance,speaker,"I really like my friend's Chanel bag, but I would never spend that much money on an accessory",jealous
hit:8975_conv:17951,utterance,listener,Maybe she will let you borrow it. Or maybe if she gets a new one she will give it to you.,suggesting
hit:8975_conv:17951,utterance,speaker,"I doubt it, they cost 4000 dollars, it's crazy",agreeing
hit:8975_conv:17951,utterance,listener,"That's way too expensive for a bag. What is it made of, gold? Haha.",questioning
hit:11346_conv:22692,situation,none,Seeing reality stars on tv,jealous
hit:11346_conv:22692,utterance,speaker,I get so tired of seeing half naked women aka the Kardashians all over the tv and internet.,disgusted
hit:11346_conv:22692,utterance,listener,i agree with you on that one it can be very frustrating seeing that all the time,agreeing
hit:11346_conv:22692,utterance,speaker,I don't understand how they are building women up by flaunting themselves and heavily editing their pics...,jealous
hit:11346_conv:22692,utterance,listener,Yeah i agree 100 percent.  Its not a good look to make someone look perfect when in reality nobody's perfect,agreeing
hit:3141_conv:6283,situation,none,I hate when people get new things when they come out and I have to save up,jealous
hit:3141_conv:6283,utterance,speaker,I always have to save up to buy myself something nice.,sentimental
hit:3141_conv:6283,utterance,listener,I hear you :) I do the same,agreeing
hit:3141_conv:6283,utterance,speaker,I envy people who can just spend so freely,jealous
hit:3141_conv:6283,utterance,listener,I know right? I am working on a side business so I can do that one day. You should totally get a side hustle.,jealous
hit:3141_conv:6283,utterance,speaker,I should but I work and go to school. I don't know if I can right now,ashamed
hit:3141_conv:6283,utterance,listener,I understand! What are you going to school for?,agreeing
hit:3141_conv:6283,utterance,speaker,psychology. its boring lol,neutral
hit:3141_conv:6283,utterance,listener,"I bet, it can help people and pay a lot in a career as well. Good luck!",encouraging
hit:4106_conv:8212,situation,none,I had to sit in a flight with crying baby,sad
hit:4106_conv:8212,utterance,speaker,I had a flighty yesterday and there was a baby crying all the way for 2 hours.,annoyed
hit:4106_conv:8212,utterance,listener,pretty annoying jeez,acknowledging
hit:4106_conv:8212,utterance,speaker,"I agree, i wanted to throw the baby off the airplane.",agreeing
hit:4106_conv:8212,utterance,listener,if you were on the other end you wouldn,neutral
hit:6327_conv:12655,situation,none,My friend just bought a new BMW.  I am so envious of him.,jealous
hit:6327_conv:12655,utterance,speaker,My friend just bought a new BMW.,jealous
hit:6327_conv:12655,utterance,listener,Nice! Have you gone cruising in it yet?,questioning
hit:6327_conv:12655,utterance,speaker,"Yes, I am so envious of him.",jealous
hit:6327_conv:12655,utterance,listener,I would be too. That's a nice car!,acknowledging
hit:9295_conv:18590,situation,none,My husband is talking to some other woman. I want to choke them both.,jealous
hit:9295_conv:18590,utterance,speaker,I caught my husband chatting with another woman.,jealous
hit:9295_conv:18590,utterance,listener,OMG I'd be so upset. Did you confront him about it?,questioning
hit:9295_conv:18590,utterance,speaker,"Not yet, I'm thinking of how to do it.",excited
hit:9295_conv:18590,utterance,listener,I wish you all the luck!,wishing
hit:1795_conv:3591,situation,none,I wish I had my neighbors nice new car.,jealous
hit:1795_conv:3591,utterance,speaker,I really wish I had my neighbor's new car.,jealous
hit:1795_conv:3591,utterance,listener,Why is that? Is it your favorite type of car?,questioning
hit:1795_conv:3591,utterance,speaker,It makes my car look bad next to it. I like Acura RSXs.,jealous
hit:1795_conv:3591,utterance,listener,"I see, turn that jealousy into motivation to get that Acura!",jealous
hit:1795_conv:3591,utterance,speaker,That is actually really good advice thank you.,acknowledging
hit:9465_conv:18930,situation,none,Last weekend I went car shopping at my local BMW dealership and saw someone leaving in a brand new i8!  I want that car so bad!,jealous
hit:9465_conv:18930,utterance,speaker,Last weekend I went car shopping at my local BMW dealership and saw someone leaving in a brand new i8! I want that car so bad!,jealous
hit:9465_conv:18930,utterance,listener,Sweet! Wouldn't mind one myself. What do they cost new?,questioning
hit:9465_conv:18930,utterance,speaker,Way more than I can afford.  After taxes and everything you are looking at around $150K!  I wish I was the guy that had just bought it!,jealous
hit:9465_conv:18930,utterance,listener,Woah! I could live for ten years on that. Hope you wrote down his tag - maybe you could sweet-talk him into going for a drive!,suggesting
hit:6853_conv:13707,situation,none,"I am envious of my coworker, he is very smart and athletic",jealous
hit:6853_conv:13707,utterance,speaker,"I am envious of my coworker, he is very smart and athletic",jealous
hit:6853_conv:13707,utterance,listener,Why its okay to be differnt,angry
hit:6853_conv:13707,utterance,speaker,"I guess so, but they are still kind of a better version of me",neutral
hit:6853_conv:13707,utterance,listener,If he is rich then I am jealous of him too,agreeing
hit:12386_conv:24772,situation,none,"I often get so annoyed having pictures taken of me, and getting asked to smile. I hate my teeth, since they're so big. I wish I had smaller, more natural teeth that other people do.. it makes me so paranoid sometimes.",jealous
hit:12386_conv:24772,utterance,speaker,"I often get so annoyed having pictures taken of me, and getting asked to smile. I hate my teeth, since they're so big. I wish I had smaller, more natural teeth that other people do.. it makes me so paranoid sometimes.",jealous
hit:12386_conv:24772,utterance,listener,Don't be! You are awesome the way you are!,acknowledging
hit:12386_conv:24772,utterance,speaker,I appreciate that. And I try to tell myself that imperfections help people stay grounded and kind. But it's still hard not to get so self-conscious about it in everyday life. I almost want to grab something and grind them down!,ashamed
hit:12386_conv:24772,utterance,listener,"Our imperfections help us stay unique! Do worry yourself with that, there are so many other things that can get us down and worry us! Just keep being awesome!",neutral
hit:2907_conv:5815,situation,none,I went to visit my friend the other day because she bought a new tv. I couldn't believe her tv was the size of both of my televisions combined.,jealous
hit:2907_conv:5815,utterance,speaker,I just visited just my best friend the other day.,trusting
hit:2907_conv:5815,utterance,listener,Oh? Did you have fun?,questioning
hit:2907_conv:5815,utterance,speaker,I was upset because she bought a new tv and it is huge. I always wanted a big tv like that.,jealous
hit:2907_conv:5815,utterance,listener,"Ah, I've never really been into big TVs. I have a tiny one that's good enough for me!",content
hit:2907_conv:5815,utterance,speaker,Well her tv is the size of both of mines. I left lol,neutral
hit:7165_conv:14331,situation,none,My girlfriend has spend the whole day talking to our new classmate and has fully ignored me,jealous
hit:7165_conv:14331,utterance,speaker,My girlfriend has been ignoring me for the whole day,lonely
hit:7165_conv:14331,utterance,listener,That's annoying. Why is she doing that?,annoyed
hit:7165_conv:14331,utterance,speaker,She has been talking to our new classmate nonstop,jealous
hit:7165_conv:14331,utterance,listener,"Oof that isn't good, sorry to hear man.",sympathizing
hit:7165_conv:14331,utterance,speaker,"Yeah, is okay, I guess she will realize it too",agreeing
hit:10717_conv:21434,situation,none,I didnt want anyone to talk with my boyfriend,jealous
hit:10717_conv:21434,utterance,speaker,I didnt want anyone to talk with my boyfriend.,jealous
hit:10717_conv:21434,utterance,listener,"Oh no, what happened?",questioning
hit:10717_conv:21434,utterance,speaker,I dont like it when he talk with others especially girls.,jealous
hit:10717_conv:21434,utterance,listener,You should be able to trust that he won't do anything shady when he talks to other girls. If you can't trust him then that might mean you need to reevaluate your relationship with him.,trusting
hit:10508_conv:21017,situation,none,"A friend of mine had their bathroom remodeled, and it looked so good that I felt quite envious.",jealous
hit:10508_conv:21017,utterance,speaker,"A friend of mine recently had their bathroom remodeled, and it made me feel like mine looks terrible by comparison.",jealous
hit:10508_conv:21017,utterance,listener,That's reasonable considering how new stuff always looks great and how more fancy stuff may be available and cheap compared to when you made yours.,agreeing
hit:10508_conv:21017,utterance,speaker,"Yeah, I just moved into my place last year, and the bathroom is quite outdated. After seeing his though, remodeling it has moved way up my list of things to get done.",impressed
hit:10508_conv:21017,utterance,listener,"That's good, it sounds like his bathroom motivated you to take yours to the next level. That's probably good for society.",acknowledging
hit:9496_conv:18993,situation,none,"My friend got an advance, signed copy of a book. That book was written by my favorite author.",jealous
hit:9496_conv:18993,utterance,speaker,My friend got an advance signed copy of a book by my favorite author.,jealous
hit:9496_conv:18993,utterance,listener,That is awesome who is your favorite author hopefully you can meet that person now.,consoling
hit:9496_conv:18993,utterance,speaker,Jasper Fforde. His books are really nerdy and awesome.,impressed
hit:9496_conv:18993,utterance,listener,I never heard of him what is a name of the book your friend plans on writing with this author?,questioning
hit:10986_conv:21973,situation,none,"My girlfriend has been messaging another guy from work a lot.  When I ask about it, she says they're just talking about work stuff, but I can't help but feel a bit weird about it.",jealous
hit:10986_conv:21973,utterance,speaker,My girlfriend has been messaging another guy from work a lot recently.,jealous
hit:10986_conv:21973,utterance,listener,do you think they are up to something?,questioning
hit:10986_conv:21973,utterance,speaker,"I can't help but feel like they are.  I have asked her about it, and she says they're just talking about work.  Maybe I'm just envious of the attention she's giving.",jealous
hit:10986_conv:21973,utterance,listener,You should be careful about jumping to conclusions.,apprehensive
hit:6018_conv:12036,situation,none,A coworker got a promotion at work that I really wanted. I'm trying really hard not to let my envy show.,jealous
hit:6018_conv:12036,utterance,speaker,One of my coworkers got the promotion I'd been vying for. I'm trying to be happy for her.,jealous
hit:6018_conv:12036,utterance,listener,That must be hard having to be happy for someone that has what you wanted.,acknowledging
hit:6018_conv:12036,utterance,speaker,"Yeah. I'm trying not to be jealous, but it isn't working. I really wanted that job.",jealous
hit:6018_conv:12036,utterance,listener,It's normal to be jealous. It is a product of goals not fulfilled.,jealous
hit:4874_conv:9749,situation,none,I was hoping to get a raise at work. But instead my arch enemy got the raise!,jealous
hit:4874_conv:9749,utterance,speaker,"Hi, you will never guess what happened to me at work.",surprised
hit:4874_conv:9749,utterance,listener,Probably not.  But now I'm interested to know.  What happened?,questioning
hit:4874_conv:9749,utterance,speaker,My arch enemy done got the raise that I wanted. Can you believe that?,jealous
hit:4874_conv:9749,utterance,listener,I can believe it.  It does tend to happen.,surprised
hit:2129_conv:4259,situation,none,My wife has been paying more attention on our son since childbirth. It's not fair :(,jealous
hit:2129_conv:4259,utterance,speaker,"My wife has been paying more attention on our son since childbirth. It's not fair, I feel left out",jealous
hit:2129_conv:4259,utterance,listener,that is her maternal instinct,neutral
hit:2129_conv:4259,utterance,speaker,"oh well, i feel like she has a new boyfriend, is that normal?",questioning
hit:2129_conv:4259,utterance,listener,no i dont think it is,agreeing
hit:7818_conv:15637,situation,none,My brother has nicer shoes than me.,jealous
hit:7818_conv:15637,utterance,speaker,My brother has nicer shoes than me.,jealous
hit:7818_conv:15637,utterance,listener,"Wow, what a show off. Would you say they are nicer by a large margin?",acknowledging
hit:7818_conv:15637,utterance,speaker,I would say they are Gucci.,jealous
hit:7818_conv:15637,utterance,listener,"Okay I see your point, I think they make really eye catching shoes.",agreeing
hit:6240_conv:12481,situation,none,My boss just bought a new boat.  I am so envious of him.,jealous
